"latitude" "longitude"
"2A1" -72.02408333 -3.37991667
"A10" -72.64811111 -3.75752778
"A11" -71.76197222 -2.82530556
"A12" -71.76197222 -2.82547222
"A1" -72.03430556 2.54063889
"A2" -72.03544444 2.54194444
"A3" -72.03561111 2.54488889
"A4" -72.05433333 -2.72513889
"A5" -72.05402778 -2.7255
"A6" -72.05436111 -2.72283333
"A7" -72.64611111 -3.76294444
"A8" -72.64663889 -3.76172222
"A9" -72.64969444 -3.75727778
"B10" -71.48116667 -3.20155556
"B11" -71.89730556 -3.22625
"B12" -71.89708333 -3.23277778
"B1" -71.75825 -2.81686111
"B2" -71.49136111 -3.23386111
"B3" -71.49136111 -3.23627778
"B4" -71.49080556 -3.23566667
"B5" -71.48811111 -3.20772222
"B6" -71.48866667 -3.20908333
"B7" -71.48930556 -3.20644444
"B8" -71.48069444 -3.20102778
"B9" -71.48105556 -3.20008333
"C10" -72.00922222 2.59383333
"C11" -72.00794444 2.59213889
"C12" -72.008 2.59191667
"C1" -71.89483333 -3.31427778
"C2" -72.01083333 2.60013889
"C3" -72.01091667 2.59997222
"C4" -72.011 2.59972222
"C5" -72.01016667 2.59669444
"C6" -72.01086111 2.59666667
"C7" -72.01033333 2.59638889
"C8" -72.00916667 2.59452778
"C9" -72.00919444 2.59422222
"D10" -72.00302778 2.57688889
"D11" -72.00191667 2.57425
"D12" -72.0335 2.67636111
"D1" -72.00697222 2.58925
"D2" -72.00702778 2.58891667
"D3" -72.00708333 2.58866667
"D4" -72.00591667 2.58641667
"D5" -72.006 2.58616667
"D7" -72.00480556 2.58325
"D8" -72.00388889 2.58047222
"D9" -72.00297222 2.57713889
"E10" -72.03641667 2.68980556
"E11" -72.03633333 2.69005556
"E12" -72.03758333 2.69183333
"E1" -72.03341667 2.67658333
"E2" -72.03405556 2.68016667
"E3" -72.03397222 2.68036111
"E4" -72.03422222 2.68116667
"E5" -72.03416667 2.68136111
"E6" -72.03486111 2.68419444
"E7" -72.03475 2.68433333
"E8" -72.03561111 2.68677778
"E9" -72.03552778 2.68702778
"F10" -72.03869444 2.75769444
"F11" -72.03869444 2.75802778
"F12" -72.04002778 2.75711111
"F1" -72.03755556 2.69211111
"F2" -72.03877778 2.694
"F3" -72.03869444 2.69433333
"F4" -72.04005556 2.69580556
"F5" -72.03997222 2.69616667
"F6" -72.03283333 2.67263889
"F7" -72.03275 2.67286111
"F8" -72.03738889 2.75836111
"F9" -72.03738889 2.75869444
"G10" -72.05433333 -2.72513889
"G11" -72.02494444 2.63491667
"G12" -72.02491667 2.63511111
"G1" -72.04005556 2.75763889
"G2" -72.04130556 2.75711111
"G3" -72.04127778 2.75752778
"G4" -72.04269444 2.75716667
"G5" -72.04266667 2.75755556
"G6" -72.04391667 2.75791667
"G7" -72.04388889 2.75830556
"G8" -72.04522222 2.75905556
"G9" -72.04519444 2.75955556
"H10" -72.02588889 2.63330556
"H11" -71.76188889 -2.82533333
"H12" -71.48133333 -3.20005556
"H1" -72.02491667 2.63511111
"H3" -72.02491667 2.63511111
"H4" -72.02491667 2.63511111
"H6" -72.02588889 2.63330556
"H7" -72.02588889 2.63330556
"H8" -72.02588889 2.63330556
"H9" -72.02588889 2.63330556
"Karin-RK1" -71.48133333 -3.20005556
"Karin-RK3" -71.48088889 -3.20211111
"Karin-RK4" -71.48819444 -3.20830556
"Karin-RK" -71.48105556 -3.20236111
"Karin-flarjuven2" -71.01697222 -3.39719444
"Karin-flarjuven4" -72.01519444 -3.38577778
"Karin-grune1" -72.04983333 -2.79058333
"Karin-grune2" -72.04938889 -2.79255556
"Karin-grune3" -72.04877778 -2.79022222
"Karin-lorenz1" -71.76180556 -2.82511111
"Karin-lorenz3" -71.75825 -2.80941667
"Karin-rk6" -71.49133333 -3.23575
"Karin-schu1" -71.90277778 -2.97347222
"Karin-schu2" -71.90311111 -2.97361111
"Karin-schu3" -71.75227778 -2.97322222
"Karin-slett1" -72.13688889 -3.28330556
"Karin-slett2" -72.13688889 -3.29772222
"Karin-slett3" -72.13352778 -3.27808333
"Karin-valt1" -71.89708333 -3.22647222
"Karin-valt2" -71.89419444 -3.22727778
"Karin-valt3" -71.89419444 -3.22727778
"karin-flarjuven3" -72.01713889 -3.39683333
"AV1_2" -85.17623333 -174.0921667
"AV1_4" -85.17621667 -174.09745
"AV1_5" -85.17611667 -174.1005
"AV1_6" -85.17621667 -174.1026333
"AV1_7" -85.17615 -174.1070667
"AV1_8" -85.17595 -174.1165333
"AV2_1" -85.1706 -174.1338
"AV2_2" -85.17028333 -174.1349833
"AV2_4" -85.1696 -174.1364
"AV2_7" -85.16801667 -174.1389
"AV2_8" -85.16761667 -174.1393333
"AV3_1" -85.17068333 -174.1483
"AV3_2" -85.1703 -174.1474833
"AV3_3" -85.16941667 -174.14615
"AV3_4" -85.16831667 -174.1512667
"AV3_5" -85.16756667 -174.1528167
"AV3_6" -85.16716667 -174.1518667
"BP1_1" -85.21261667 -177.3386167
"BP1_2" -85.21048333 -177.3285167
"BP1_3" -85.20783333 -177.3224167
"BP1_4" -85.20495 -177.3292333
"BP1_5" -85.20321667 -177.3433333
"BP1_6" -85.20146667 -177.3620167
"BP1_7" -85.20093333 -177.3721
"BP1_8" -85.20063333 -177.3757667
"BP2_1" -85.21213333 -177.3576
"BP2_2" -85.2116 -177.3588833
"BP2_3" -85.21121667 -177.3620333
"BP2_5A" -85.20721667 -177.3887
"BP2_5B" -85.20591667 -177.40175
"BP2_7" -85.20363333 -177.3919667
"BP2_8" -85.20238333 -177.3907167
"BP3_1" -85.21436667 -177.4047667
"BP3_2" -85.2135 -177.4085667
"BP3_4" -85.21158333 -177.4173667
"BP3_5" -85.21001667 -177.4193167
"BP3_6" -85.20616667 -177.41665
"BP3_7" -85.20533333 -177.4148667
"BP3_8" -85.2049 -177.4135667
"HV1_2" -85.04411667 -177.2333833
"HV1_3" -85.0419 -177.2421167
"HV1_4" -85.0404 -177.2420333
"HV1_5" -85.03806667 -177.2369667
"HV1_6" -85.03393333 -177.2206167
"HV1_7" -85.03103333 -177.1790333
"HV1_8" -85.03005 -177.1751333
"HV2_5" -85.0467 -177.4161667
"HV2_6" -85.04845 -177.4213167
"HV2_7" -85.05035 -177.4160667
"HV3_10" -85.02945 -177.1922833
"HV3_1" -85.03316667 -177.3292167
"HV3_2" -85.02861667 -177.1936667
"HV3_3" -85.03285 -177.3167
"HV3_4" -85.03288333 -177.3021167
"HV3_5" -85.03076667 -177.2549167
"HV3_6" -85.03111667 -177.2489333
"HV3_7" -85.0316 -177.2427
"HV3_8" -85.03196667 -177.2374833
"HV3_9" -85.0324 -177.2265167
"MF1_1" -84.62618333 -176.7664333
