sample,latitude,longitude,dataset
74,-69.43379,75.99059,vestfold
93,-69.40918,76.00242,vestfold
6,-69.40848,76.00594,vestfold
86,-69.40444,76.11796,vestfold
63,-69.40227,76.101,vestfold
79,-69.40181,76.08656,vestfold
12,-69.39658,76.38214,vestfold
80,-69.39013,76.35168,vestfold
96,-69.38673,76.37597,vestfold
33,-69.38658,76.32887,vestfold
39,-69.37974,76.37732,vestfold
32,-69.37552,76.38286,vestfold
113,-69.3654,76.13505,vestfold
114,-69.3654,76.13505,vestfold
85,-69.3654,76.13505,vestfold
95,-68.85815,77.94057,vestfold
27,-68.85573,77.93426,vestfold
105,-68.85427,77.93998,vestfold
67,-68.85427,77.93998,vestfold
40,-68.85405,77.93672,vestfold
45,-68.85275,77.94259,vestfold
109,-68.83064,77.70951,vestfold
115,-68.83048,77.71918,vestfold
17,-68.82537,77.67931,vestfold
20,-68.82444,77.69951,vestfold
11,-68.81859,77.70846,vestfold
102,-68.65743333,77.87660833,vestfold
57,-68.6415,78.29643,vestfold
104,-68.60675,77.94797222,vestfold
76,-68.60162,78.34634,vestfold
100,-68.60134,78.23598,vestfold
101,-68.60134,78.23598,vestfold
OWT30_S51,-68.60012912,77.9522501,vestfold
OWT32_S87,-68.60012223,77.95229315,vestfold
OWT20_S39,-68.6001128,77.95222662,vestfold
OWT22_S75,-68.60010604,77.95227106,vestfold
OWT10_S27,-68.60009771,77.95220576,vestfold
OWT12_S63,-68.60009083,77.95225026,vestfold
107,-68.59994,78.28881,vestfold
OWT3100_S28,-68.59973262,77.95443532,vestfold
OWT3102_S64,-68.59972373,77.95448059,vestfold
OWT2100_S16,-68.59971566,77.95441188,vestfold
OWT2102_S52,-68.59970798,77.95446059,vestfold
OWT1100_S4,-68.59969881,77.95439107,vestfold
OWT1102_S40,-68.59969094,77.95444016,vestfold
OWT3200_S5,-68.59934009,77.95664338,vestfold
OWT3202_S41,-68.59933215,77.95668727,vestfold
OWT2200_S88,-68.59932416,77.95661894,vestfold
OWT2202_S29,-68.59931563,77.95666339,vestfold
OWT1200_S76,-68.59930911,77.95659397,vestfold
OWT1202_S17,-68.59930008,77.9566359,vestfold
108,-68.59519444,77.95883333,vestfold
44,-68.58156,78.23908,vestfold
HVT1202_S79_L001,-68.57954464,78.00453017,vestfold
HVT2202_S56_L001,-68.57953617,78.00448251,vestfold
HVT3202_S33_L001,-68.57952524,78.0044411,vestfold
HVT2200_S29_L001,-68.57952041,78.00450317,vestfold
HVT3200_S30_L001,-68.57950966,78.00446429,vestfold
HVT1102_S92_L001,-68.57869999,78.0052991,vestfold
HVT3102_S94_L001,-68.57868208,78.00520962,vestfold
HVT1100_S76_L001,-68.57868126,78.00530884,vestfold
HVT2100_S77_L001,-68.57867393,78.00526999,vestfold
HVT3100_S78_L001,-68.57866558,78.00522819,vestfold
HVT12_S15_L001,-68.57785159,78.00605502,vestfold
HVT22_S61_L001,-68.57784488,78.00601067,vestfold
HVT32_S62_L001,-68.57783812,78.00594526,vestfold
HVT10_S44_L001,-68.57783479,78.00607381,vestfold
HVT20_S45_L001,-68.57782833,78.00602663,vestfold
HVT30_S46_L001,-68.57782167,78.00596496,vestfold
87,-68.56638889,78.47586111,vestfold
