sample,latitude,longitude,dist_coast,dist_ocean,elevation
2A1,-72.02408333,-3.37991667,62146.80899,175705.0811,1285.617188
A10,-72.64811111,-3.75752778,130300.653,245330.2745,1883.5
A11,-71.76197222,-2.82530556,39208.97427,148169.2328,889.875
A12,-71.76197222,-2.82547222,39206.10401,148168.3373,889.875
A1,-72.03430556,2.54063889,102173.2271,202711.5726,1298.03125
A2,-72.03544444,2.54194444,102284.2406,202820.6976,1299.429688
A3,-72.03561111,2.54488889,102376.7746,202810.285,1300.953125
A4,-72.05433333,-2.72513889,64163.4292,180859.1346,1295.929688
A5,-72.05402778,-2.7255,64159.2918,180823.6897,1271.609375
A6,-72.05436111,-2.72283333,64094.11534,180873.8346,1283.695313
A7,-72.64611111,-3.76294444,130292.1279,245117.2832,1883.34375
A8,-72.64663889,-3.76172222,130299.5257,245173.8153,1882.890625
A9,-72.64969444,-3.75727778,130409.19,245505.5342,1880.71875
B10,-71.48116667,-3.20155556,6281.075324,115557.7354,379.875
B11,-71.89730556,-3.22625,49189.42399,161761.1482,1021.882813
B12,-71.89708333,-3.23277778,49109.68265,161725.6751,1052.984375
B1,-71.75825,-2.81686111,38963.23236,147805.587,985.546875
B2,-71.49136111,-3.23386111,6277.80335,116610.5091,464
B3,-71.49136111,-3.23627778,6226.070318,116605.0066,464
B4,-71.49080556,-3.23566667,6189.796802,116544.6185,480.7265625
B5,-71.48811111,-3.20772222,6623.55307,116313.0916,439.0078125
B6,-71.48866667,-3.20908333,6632.574287,116371.3085,445.9609375
B7,-71.48930556,-3.20644444,6749.027691,116449.1442,436.4375
B8,-71.48069444,-3.20102778,6263.919461,115506.6866,379.875
B9,-71.48105556,-3.20008333,6314.901763,115549.3537,375.359375
C10,-72.00922222,2.59383333,102057.163,199523.59,1480.445313
C11,-72.00794444,2.59213889,101929.0052,199402.8641,1460.492188
C12,-72.008,2.59191667,101926.1612,199410.9075,1460.492188
C1,-71.89483333,-3.31427778,48252.63279,161369.5972,831.90625
C2,-72.01083333,2.60013889,102337.2859,199636.7141,1527.882813
C3,-72.01091667,2.59997222,102337.7708,199647.1989,1548.5
C4,-72.011,2.59972222,102335.8887,199658.4645,1548.5
C5,-72.01016667,2.59669444,102197.6384,199597.7147,1504.882813
C6,-72.01086111,2.59666667,102240.3792,199672.2981,1504.882813
C7,-72.01033333,2.59638889,102199.3999,199618.4253,1504.882813
C8,-72.00916667,2.59452778,102073.4241,199511.0996,1480.445313
C9,-72.00919444,2.59422222,102066.4771,199516.9512,1480.445313
D10,-72.00302778,2.57688889,101187.7498,199022.0722,1251.164063
D11,-72.00191667,2.57425,101043.2436,198928.6013,1203.195313
D12,-72.0335,2.67636111,105923.2154,201376.0566,1255.585938
D1,-72.00697222,2.58925,101786.0259,199326.1798,1432.351563
D2,-72.00702778,2.58891667,101780.0184,199335.2794,1432.351563
D3,-72.00708333,2.58866667,101776.3818,199343.5892,1432.351563
D4,-72.00591667,2.58641667,101639.424,199240.1425,1399.867188
D5,-72.006,2.58616667,101637.5186,199251.4275,1399.867188
D7,-72.00480556,2.58325,101479.8736,199151.4239,1345.476563
D8,-72.00388889,2.58047222,101343.5449,199079.8871,1299.109375
D9,-72.00297222,2.57713889,101191.3996,199013.7425,1251.164063
E10,-72.03641667,2.68980556,106487.4873,201572.2173,1402.273438
E11,-72.03633333,2.69005556,106489.3085,201561.0724,1402.273438
E12,-72.03758333,2.69183333,106618.4155,201680.1638,1461.445313
E1,-72.03341667,2.67658333,105924.25,201365.1397,1255.585938
E2,-72.03405556,2.68016667,106065.9231,201402.3795,1291.390625
E3,-72.03397222,2.68036111,106066.1741,201391.7092,1276.945313
E4,-72.03422222,2.68116667,106104.7262,201411.5388,1291.390625
E5,-72.03416667,2.68136111,106106.7288,201403.8589,1291.390625
E6,-72.03486111,2.68419444,106230.6735,201453.7668,1309.8125
E7,-72.03475,2.68433333,106227.6037,201440.5979,1309.8125
E8,-72.03561111,2.68677778,106351.0423,201511.905,1356.203125
E9,-72.03552778,2.68702778,106352.8656,201500.7571,1356.203125
F10,-72.03869444,2.75769444,108558.1197,201241.4082,1258.945313
F11,-72.03869444,2.75802778,108567.6236,201238.6493,1258.945313
F12,-72.04002778,2.75711111,108624.2141,201390.2056,1284.8125
F1,-72.03755556,2.69211111,106624.5197,201674.7628,1461.445313
F2,-72.03877778,2.694,106755.0609,201789.9527,1507.164063
F3,-72.03869444,2.69433333,106759.2221,201778.0928,1507.164063
F4,-72.04005556,2.69580556,106886.8061,201911.8959,1541.726563
F5,-72.03997222,2.69616667,106891.7411,201899.8005,1541.726563
F6,-72.03283333,2.67263889,105775.861,201337.1619,1230.054688
F7,-72.03275,2.67286111,105776.8938,201326.241,1230.054688
F8,-72.03738889,2.75836111,108496.2914,201094.9217,1201.382813
F9,-72.03738889,2.75869444,108505.8036,201092.1621,1231.984375
G10,-72.05433333,-2.72513889,64163.4292,180859.1346,1295.929688
G11,-72.02494444,2.63491667,104210.8443,200827.7584,1185.796875
G12,-72.02491667,2.63511111,104214.592,200823.0108,1174.382813
G1,-72.04005556,2.75763889,108640.9729,201388.839,1284.8125
