sample	location	year	latitude	longitude	x	y	dataset	reads
SRR14233623	mcmurdo_valley	2018	-77.60823333	162.9061667	449850.972314401	1384456.08380305	dt14	20437
SRR14233624	mcmurdo_valley	2016	-77.61202	162.92676	450358.934923757	1384051.27146266	dt14	8946
SRR14233625	mcmurdo_valley	2016	-77.61182	162.92778	450382.55952865	1384074.4406591	dt14	5938
SRR14233626	mcmurdo_valley	2016	-77.61153	162.9288	450405.830359495	1384107.64726215	dt14	431
SRR14233627	mcmurdo_valley	2016	-77.61126	162.92915	450413.144160795	1384138.05657019	dt14	4523
SRR14233628	mcmurdo_valley	2016	-77.61084	162.92882	450403.590763795	1384184.62067796	dt14	16622
SRR14233629	mcmurdo_valley	2016	-77.61041	162.92754	450371.257004707	1384231.4964736	dt14	20848
SRR14233630	mcmurdo_valley	2016	-77.60996	162.92638	450341.714865724	1384280.70373761	dt14	7934
SRR14233631	mcmurdo_valley	2016	-77.6099	162.92497	450307.725296044	1384286.20155294	dt14	14094
SRR14233632	mcmurdo_valley	2018	-77.605239	162.909325	449914.678538876	1384792.73910986	dt14	21231
SRR14233633	mcmurdo_valley	2018	-77.60496	162.908317	449889.43010447	1384822.99507465	dt14	18575
SRR14233634	mcmurdo_valley	2018	-77.60776667	162.9107167	449958.050166592	1384512.01599968	dt14	19393
SRR14233635	mcmurdo_valley	2018	-77.604706	162.907636	449872.111076887	1384850.74179993	dt14	16889
SRR14233636	mcmurdo_valley	2018	-77.604485	162.907084	449858.012101109	1384874.91810213	dt14	1
SRR14233637	mcmurdo_valley	2018	-77.604399	162.906337	449839.780269837	1384883.87102159	dt14	18563
SRR14233639	mcmurdo_valley	2018	-77.60375	162.903961	449780.291449261	1384954.2208383	dt14	0
SRR14233640	mcmurdo_valley	2018	-77.6074	162.9135667	450024.830045661	1384555.34039303	dt14	20475
SRR14233642	mcmurdo_valley	2018	-77.60758333	162.9124167	449998.023751853	1384533.91357733	dt14	17535
SRR14233643	mcmurdo_valley	2018	-77.60776667	162.9107167	449958.050166592	1384512.01599968	dt14	12038
SRR14233644	mcmurdo_valley	2018	-77.60791667	162.90975	449935.501720428	1384494.46164586	dt14	0
SRR14233645	mcmurdo_valley	2018	-77.60776667	162.9107167	449958.050166592	1384512.01599968	dt14	19741
SRR14233646	mcmurdo_valley	2018	-77.60801667	162.9089833	449917.543276155	1384482.6541851	dt14	18033
SRR14233649	mcmurdo_valley	2018	-77.60823333	162.9061667	449850.972314401	1384456.08380305	dt14	25108
SRR14233650	mcmurdo_valley	2018	-77.6074	162.9135667	450024.830045661	1384555.34039303	dt14	30757
SRR14233651	mcmurdo_valley	2018	-77.6075	162.9125167	450000.087135706	1384543.2926183	dt14	17018
SRR14233652	mcmurdo_valley	2018	-77.60758333	162.9124167	449998.023751853	1384533.91357733	dt14	19186
SRR14233653	mcmurdo_valley	2018	-77.60758333	162.9124167	449998.023751853	1384533.91357733	dt14	15907
SRR14233654	mcmurdo_valley	2018	-77.60776667	162.9107167	449958.050166592	1384512.01599968	dt14	0
SRR14233655	mcmurdo_valley	2018	-77.60776667	162.9107167	449958.050166592	1384512.01599968	dt14	38350
SRR14233656	mcmurdo_valley	2019	-77.6082	162.9067833	449865.601723164	1384460.32814877	dt14	17311
SRR14233657	mcmurdo_valley	2018	-77.60791667	162.90975	449935.501720428	1384494.46164586	dt14	24252
SRR14233658	mcmurdo_valley	2018	-77.6082	162.9067833	449865.601723164	1384460.32814877	dt14	3
SRR14233659	mcmurdo_valley	2018	-77.60823333	162.9061667	449850.972314401	1384456.08380305	dt14	21007
SRR14233660	mcmurdo_valley	2018	-77.6074	162.9135667	450024.830045661	1384555.34039303	dt14	15016
SRR14233661	mcmurdo_valley	2018	-77.60823333	162.9061667	449850.972314401	1384456.08380305	dt14	10139
SRR14233662	mcmurdo_valley	2018	-77.60823333	162.9061667	449850.972314401	1384456.08380305	dt14	12513
SRR14233663	mcmurdo_valley	2018	-77.60776667	162.9107167	449958.050166592	1384512.01599968	dt14	29013
SRR14233665	mcmurdo_valley	2019	-77.6082	162.9067833	449865.601723164	1384460.32814877	dt14	16672
