sample	location	year	latitude	longitude	x	y	dataset	reads
BO.17.01	Bouvet_Island_point_1	2016-2017	-54.445	3.404	526198.7066	3966890.452	dt6	123523
BO.17.03	Bouvet_Island_point_1	2016-2018	-54.445	3.404	526198.7066	3966890.452	dt6	100796
BO.17.13	Bouvet_Island_point_1	2016-2019	-54.445	3.404	526198.7066	3966890.452	dt6	102708
BO.17.27	Bouvet_Island_point_1	2016-2020	-54.445	3.404	526198.7066	3966890.452	dt6	110452
CR.16.175	Baie_Americaine_beach	2016-2021	-46.39116	51.80608	561975.2516	4862174.798	dt6	84302
CR.16.191	Alfred_Faure_Base_3	2016-2022	-46.43134	51.85979	566056.1875	4857666.755	dt6	78598
CR.16.82	Mount_Branca_2	2016-2023	-46.4357	51.83424	564088.1203	4857203.322	dt6	107342
DR.17.138	Bartolome_Island	2016-2024	-56.51336	-68.72871	516694.7751	3736749.497	dt6	53639
DR.17.74.2	Bartolome_Island	2016-2025	-56.51255	-68.72959	516640.9763	3736839.868	dt6	68278
KER.16.186	Base_of_Ridge_1	2016-2026	-49.34361	70.06525	577377.0224	4533799.884	dt6	60006
KER.16.187	Rocky_shoreline_Kergerlen	2016-2027	-49.3541	70.01931	574024.371	4532679.773	dt6	78589
MAC.17.02	Lauft_Island	2016-2028	-73.23471	-126.76921	571808.316	1871998.641	dt6	107666
MAC.17.03	Lauft_Island	2016-2029	-73.23436	-126.77721	571552.357	1872047.245	dt6	117800
MAC.17.04	Maher_Island	2016-2030	-73.19804	-127.05265	562820.7273	1876405.961	dt6	131347
MAC.17.05	Maher_Island	2016-2031	-73.19803	-127.05704	562679.1891	1876411.679	dt6	63410
MAC.17.06	Siple_Island	2016-2032	-73.54043	-127.445	549173.3826	1838592.116	dt6	111785
MAC.17.07	Siple_Island	2016-2033	-73.54047	-127.44504	549172.0018	1838587.687	dt6	111008
MAC.17.08	Siple_Island	2016-2034	-73.54041	-127.44522	549166.4851	1838594.527	dt6	112398
MAC.17.09.a	Siple_Island	2016-2035	-73.54041	-127.44522	549166.4851	1838594.527	dt6	86823
MAC.17.09.b	Siple_Island	2016-2036	-73.54041	-127.44522	549166.4851	1838594.527	dt6	99935
MAC.17.09.c	Siple_Island	2016-2037	-73.54041	-127.44522	549166.4851	1838594.527	dt6	78680
MAC.17.20.b	Siple_Island	2016-2038	-73.54089	-127.42231	549889.3967	1838522.002	dt6	112748
MAR.16.132	Top_end_of_TafelbergMarion	2016-2039	-46.89094	37.79452	408166.807	4806249.898	dt6	65008
PET.17.01	Peter_I_Island	2016-2040	-68.8153	-90.7321	591445.8301	2364544.74	dt6	131047
SC.17.01	Scott_Island_Volcanic_rock_top_of_island	2016-2041	-67.379	-179.912	375047.0233	2523437.194	dt6	79178
SC.17.02	Scott_Island_Volcanic_rock_top_of_island	2016-2042	-67.379	-179.912	375047.0233	2523437.194	dt6	73158
SC.17.03	Scott_Island_Volcanic_rock_top_of_island	2016-2043	-67.379	-179.912	375047.0233	2523437.194	dt6	83069
SC.17.04	Scott_Island_Volcanic_rock_top_of_island	2016-2044	-67.379	-179.912	375047.0233	2523437.194	dt6	59829
SC.17.05	Scott_Island_Volcanic_rock_top_of_island	2016-2045	-67.379	-179.912	375047.0233	2523437.194	dt6	103014
SC.17.06	Scott_Island_Volcanic_rock_top_of_island	2016-2046	-67.379	-179.912	375047.0233	2523437.194	dt6	86818
SG.17.103	Maiviken_area_S_Georgia_I	2016-2047	-54.266	-36.502	662680.7443	3984002.97	dt6	72768
SG.17.111	Maiviken_area_S_Georgia_I	2016-2048	-54.262	-36.502	662696.5001	3984447.898	dt6	66105
SG.17.91	Maiviken_area_S_Georgia_I	2016-2049	-54.272	-36.516	661745.6821	3983367.767	dt6	83920
SG.17.95	Maiviken_area_S_Georgia_I	2016-2050	-54.262	-36.504	662566.2648	3984452.508	dt6	60786
SG.17.99	Maiviken_area_S_Georgia_I	2016-2051	-54.263	-36.505	662497.2131	3984343.579	dt6	68099
