sample	location	year	latitude	longitude	x	y	dataset	reads
SRR16996395	Anarctic_peninsula	2019	-62.16527778	-58.96777778	397503.2673	3105850.876	dt71	26716
SRR16996396	Anarctic_peninsula	2019	-62.18777778	-58.9175	400195.7484	3103423.614	dt71	33077
SRR16996397	Anarctic_peninsula	2019	-62.17388889	-58.9525	398327.7864	3104915.959	dt71	47033
SRR16996398	Anarctic_peninsula	2019	-62.18222222	-58.97777778	397040.1372	3103947.972	dt71	20697
SRR16996399	Anarctic_peninsula	2019	-62.17972222	-58.91861111	400111.348	3104319.038	dt71	49438
SRR16996400	Anarctic_peninsula	2019	-62.17055556	-58.94361111	398779.4148	3105301.104	dt71	13825
SRR16996401	Anarctic_peninsula	2019	-62.17388889	-58.9525	398327.7864	3104915.959	dt71	50772
SRR16996402	Anarctic_peninsula	2019	-62.17722222	-58.97833333	396994.2113	3104503.921	dt71	29656
SRR16996403	Anarctic_peninsula	2019	-62.18222222	-58.97777778	397040.1372	3103947.972	dt71	14341
SRR16996404	Anarctic_peninsula	2016	-74.76804444	164.0160222	471144.593	1702034.005	dt71	123494
SRR16996405	Anarctic_peninsula	2016	-74.76804444	164.0160222	471144.593	1702034.005	dt71	61194
SRR16996406	Anarctic_peninsula	2016	-74.76804444	164.0160222	471144.593	1702034.005	dt71	101979
SRR16996407	Anarctic_peninsula	2016	-74.76804444	164.0160222	471144.593	1702034.005	dt71	82927
SRR16996408	Anarctic_peninsula	2016	-74.76804444	164.0160222	471144.593	1702034.005	dt71	74128
SRR16996409	Anarctic_peninsula	2019	-62.185	-58.9775	397064.0415	3103639.062	dt71	68607
SRR16996410	Anarctic_peninsula	2016	-74.76804444	164.0160222	471144.593	1702034.005	dt71	57389
SRR16996411	Anarctic_peninsula	2016	-74.76804444	164.0160222	471144.593	1702034.005	dt71	97103
SRR16996412	Anarctic_peninsula	2016	-74.76804444	164.0160222	471144.593	1702034.005	dt71	37798
SRR16996413	Anarctic_peninsula	2016	-74.76804444	164.0160222	471144.593	1702034.005	dt71	58253
SRR16996414	Anarctic_peninsula	2016	-74.76804444	164.0160222	471144.593	1702034.005	dt71	23356
SRR16996415	Anarctic_peninsula	2016	-74.76804444	164.0160222	471144.593	1702034.005	dt71	91462
SRR16996416	Anarctic_peninsula	2016	-72.3166654	170.2666656	475137.8771	1975593.975	dt71	58320
SRR16996417	Anarctic_peninsula	2016	-72.3166654	170.2666656	475137.8771	1975593.975	dt71	53541
SRR16996418	Anarctic_peninsula	2016	-72.3166654	170.2666656	475137.8771	1975593.975	dt71	64600
SRR16996419	Anarctic_peninsula	2016	-72.3166654	170.2666656	475137.8771	1975593.975	dt71	76361
SRR16996420	Anarctic_peninsula	2019	-62.17972222	-58.91861111	400111.348	3104319.038	dt71	12111
SRR16996421	Anarctic_peninsula	2016	-72.3166654	170.2666656	475137.8771	1975593.975	dt71	64288
SRR16996422	Anarctic_peninsula	2016	-72.3166654	170.2666656	475137.8771	1975593.975	dt71	72430
SRR16996423	Anarctic_peninsula	2016	-72.3166654	170.2666656	475137.8771	1975593.975	dt71	78932
SRR16996424	Anarctic_peninsula	2016	-72.3166654	170.2666656	475137.8771	1975593.975	dt71	40487
SRR16996425	Anarctic_peninsula	2016	-72.3166654	170.2666656	475137.8771	1975593.975	dt71	31408
SRR16996426	Anarctic_peninsula	2016	-72.3166654	170.2666656	475137.8771	1975593.975	dt71	39073
SRR16996427	Anarctic_peninsula	2016	-72.3166654	170.2666656	475137.8771	1975593.975	dt71	12452
SRR16996428	Anarctic_peninsula	2016	-77.213194	166.4456667	535714.068	1428996.451	dt71	104505
SRR16996429	Anarctic_peninsula	2016	-77.213194	166.4456667	535714.068	1428996.451	dt71	111842
SRR16996430	Anarctic_peninsula	2019	-62.20472222	-59.00083333	395917.6069	3101405.38	dt71	38260
SRR16996431	Anarctic_peninsula	2019	-62.17055556	-58.94361111	398779.4148	3105301.104	dt71	50164
SRR16996432	Anarctic_peninsula	2019	-62.20861111	-58.99444444	396263.2198	3100982.541	dt71	22909
SRR16996433	Anarctic_peninsula	2019	-62.20833333	-58.98388889	396811.1722	3101030.341	dt71	48673
SRR16996434	Anarctic_peninsula	2019	-62.20944444	-58.98305556	396858.2972	3100907.928	dt71	27425
SRR16996435	Anarctic_peninsula	2019	-62.21138889	-58.97805556	397124.9126	3100699.335	dt71	32230
SRR16996436	Anarctic_peninsula	2019	-62.21361111	-58.97166667	397464.6502	3100461.987	dt71	27748
SRR16996437	Anarctic_peninsula	2019	-62.20472222	-59.00083333	395917.6069	3101405.38	dt71	59179
SRR16996438	Anarctic_peninsula	2019	-62.20861111	-58.99444444	396263.2198	3100982.541	dt71	15541
SRR16996439	Anarctic_peninsula	2019	-62.20833333	-58.98388889	396811.1722	3101030.341	dt71	25156
SRR17050018	Anarctic_peninsula	2017	-62.217893	-58.964096	397872.7387	3099997.088	dt71	35290
SRR17050019	Anarctic_peninsula	2017	-62.217893	-58.964096	397872.7387	3099997.088	dt71	56928
SRR17050020	Anarctic_peninsula	2017	-62.218024	-58.966421	397752.3155	3099978.83	dt71	57068
SRR17050021	Anarctic_peninsula	2016	-64.71588333	-62.87171667	506113.5875	2823202.873	dt71	45299
SRR17050022	Anarctic_peninsula	2016	-64.895507	-62.870299	506140.1446	2803184.594	dt71	49728
SRR17050023	Anarctic_peninsula	2016	-64.895507	-62.870299	506140.1446	2803184.594	dt71	87407
