files	sample	location	year	latitude	longitude	x	y	dataset	reads
1	s1	Hopkins_Ridge_2_Alexander_Island	2007-2008	-69.3668	-71.84448333	388169.6196595	2302138.59259767	dt9	17253
4	s4	Marambio_Station_ARG_Seymour_Island	2007-2008	-64.23636667	-56.62585	518145.65989696	2876593.07344894	dt9	4362
10	s10	Spert_Island_1	2007-2008	-63.84461667	-60.9479	600916.479653235	2918678.06269421	dt9	20261
11	s11	Hopkins_Ridge_1_Alexander_Island	2007-2008	-69.366	-71.842	388263.050499773	2302232.25255083	dt9	4306
12	s12	Mount_Holt_Alexander_Island	2007-2008	-69.36591667	-71.84251667	388242.318100747	2302240.59278356	dt9	2286
13	s13	Alectoria_Island_1	2007-2008	-63.977	-58.64	419724.853653532	2904516.30411539	dt9	6788
15	s15	Orion_Point_Greenwich_Island	2007-2008	-62.447	-59.736	358830.386695305	3073032.88893775	dt9	2796
16	s16	Whalers_Bay_2_Deception_Island	2007-2008	-62.97731667	-60.55233333	624054.604080173	3014577.08765395	dt9	2797
18	s18	Whalers_Bay_1_Deception_Island	2007-2008	-62.97613333	-60.55676667	623834.998751072	3014717.40646983	dt9	14215
23	s23	Yelcho_Station_CHL_3_Wiencke_Island	2007-2008	-64.83651667	-63.51581667	475527.459903443	2809665.41719099	dt9	15851
26	s26	Hopkins_Ridge_4_Alexander_Island	2007-2008	-69.40856667	-71.66468333	395437.182580521	2297803.10994482	dt9	0
30	s30	Blailklock_Island	2007-2008	-67.54298333	-67.19876667	576773.996001056	2506972.1814258	dt9	9848
31	s31	Rothera_Point	2007-2008	-67.56878333	-68.11428333	537714.158578898	2504941.80509075	dt9	6323
34	s34	South_Beaches_1_Livingston_Island	2007-2008	-62.65515	-61.09036667	597856.564813933	3051383.31235396	dt9	901
51	s51	Jenny_Island	2007-2008	-67.73166667	-68.365	526852.779463164	2486914.29510096	dt9	1481
58	s58	Yelcho_Station_CHL_2_Wiencke_Island	2007-2008	-64.8943	-63.55296667	473821.204931618	2803211.00950858	dt9	12284
59	s59	Cape_Evenson_Antarctic_Peninsula	2007-2008	-66.14523333	-65.71863333	377343.649400039	2661239.65482084	dt9	4727
64	s64	Edwards_Point_Robert_Island	2007-2008	-62.46073333	-59.50931667	370581.528817377	3071978.5325137	dt9	8054
68	s68	Keller_Peninsula_King_George_Island	2007-2008	-62.08595	-58.39991667	426886.893789857	3115455.56402227	dt9	15118
70	s70	South_Beaches_2_Livingston_Island	2007-2008	-62.6528	-61.09241667	597759.280899481	3051648.15447023	dt9	11920
82	s82	nunatak_unnamed	2007-2008	-63.55885	-57.82355	459085.373748111	2951879.60543988	dt9	0
83	s83	Spert_Island_2	2007-2008	-63.84496667	-60.95075	600775.109160256	2918643.58070344	dt9	13681
85	s85	Hopkins_Ridge_3_Alexander_Island	2007-2008	-69.36808333	-71.8443	388183.470433479	2301995.95685786	dt9	10352
86	s86	Alectoria_Island_2	2007-2008	-63.96271667	-59.07131667	398566.016448441	2905492.77382986	dt9	12953
88	s88	Lagoon_Island	2007-2008	-67.59383333	-68.2469	532033.607070124	2502223.91781834	dt9	12601
94	s94	Detaille_Island	2007-2008	-66.8752	-66.78335	597129.791392573	2580803.96552055	dt9	2668
99	s99	Cape_Lachman_James_Ross_Island	2007-2008	-63.78163333	-57.7836	461374.331157926	2927081.7201966	dt9	5210
102	s102	Mars_Oasis_1_Alexander_Island	2007-2008	-71.87780556	-68.24791667	526109.168820937	2024534.32720903	dt9	10431
103	s103	Mars_Oasis_2_Alexander_Island	2007-2008	-71.87780556	-68.24791667	526109.168820937	2024534.32720903	dt9	13154
104	s104	Mars_Oasis_3_Alexander_Island	2007-2008	-71.87780556	-68.24791667	526109.168820937	2024534.32720903	dt9	457
105	s105	Mars_Oasis_4_Alexander_Island	2007-2008	-71.87780556	-68.24791667	526109.168820937	2024534.32720903	dt9	14760
106	s106	Wynn_Knolls_1_Signy_Island	2007-2008	-60.70143333	-45.6619	463865.48611997	3270285.60844944	dt9	1138
107	s107	Wynn_Knolls_2_Signy_Island	2007-2008	-60.70143333	-45.6619	463865.48611997	3270285.60844944	dt9	946
108	s108	Wynn_Knolls_3_Signy_Island	2007-2008	-60.70143333	-45.6619	463865.48611997	3270285.60844944	dt9	77
109	s109	Wynn_Knolls4_Signy_Island	2007-2008	-60.70143333	-45.6619	463865.48611997	3270285.60844944	dt9	0
110	s110	Wynn_Knolls_5_Signy_Island	2007-2008	-60.70143333	-45.6619	463865.48611997	3270285.60844944	dt9	4497
112	s112	Wynn_Knolls_6_Signy_Island	2007-2008	-60.70143333	-45.6619	463865.48611997	3270285.60844944	dt9	4867
